"TIME","CURRENCY","UNIT","STATINFO","Value","Flag and Footnotes"
"2017M06","US dollar","National currency","Average","1.1229",""
"2017M07","Icelandic krona","National currency","Average","120.36",""
"2017M07","US dollar","National currency","Average","1.1511",""
"2017M08","Icelandic krona","National currency","Average","125.22",""
"2017M08","US dollar","National currency","Average","1.1807",""
"2017M09","Icelandic krona","National currency","Average","126.70",""
"2017M09","US dollar","National currency","Average","1.1915",""
"2017M10","Icelandic krona","National currency","Average","124.07",""
"2017M10","US dollar","National currency","Average","1.1756",""
"2017M11","Icelandic krona","National currency","Average","122.37",""
"2017M11","US dollar","National currency","Average","1.1738",""
"2017M12","Icelandic krona","National currency","Average","124.02",""
"2017M12","US dollar","National currency","Average","1.1836",""
"2018M01","Icelandic krona","National currency","Average","125.41",""
"2018M01","US dollar","National currency","Average","1.2200",""
"2018M02","Icelandic krona","National currency","Average","124.69",""
"2018M02","US dollar","National currency","Average","1.2348",""
"2018M03","Icelandic krona","National currency","Average","122.82",""
"2018M03","US dollar","National currency","Average","1.2336",""
"2018M04","Icelandic krona","National currency","Average","122.30",""
"2018M04","US dollar","National currency","Average","1.2276",""
"2018M05","Icelandic krona","National currency","Average","122.83",""
"2018M05","US dollar","National currency","Average","1.1812",""
"2018M06","Icelandic krona","National currency","Average","124.76",""
"2018M06","US dollar","National currency","Average","1.1678",""
"2018M07","Icelandic krona","National currency","Average","124.41",""
"2018M07","US dollar","National currency","Average","1.1686",""
"2018M08","Icelandic krona","National currency","Average","124.19",""
"2018M08","US dollar","National currency","Average","1.1549",""
"2018M09","Icelandic krona","National currency","Average","128.89",""
"2018M09","US dollar","National currency","Average","1.1659",""
"2018M10","Icelandic krona","National currency","Average","134.47",""
"2018M10","US dollar","National currency","Average","1.1484",""
"2018M11","Icelandic krona","National currency","Average","139.78",""
"2018M11","US dollar","National currency","Average","1.1367",""
"2018M12","Icelandic krona","National currency","Average","137.78",""
"2018M12","US dollar","National currency","Average","1.1384",""
"2019M01","Icelandic krona","National currency","Average","136.66",""
"2019M01","US dollar","National currency","Average","1.1416",""
"2019M02","Icelandic krona","National currency","Average","136.10",""
"2019M02","US dollar","National currency","Average","1.1351",""
"2019M03","Icelandic krona","National currency","Average","135.48",""
"2019M03","US dollar","National currency","Average","1.1302",""
"2019M04","Icelandic krona","National currency","Average","135.34",""
"2019M04","US dollar","National currency","Average","1.1238",""
"2019M05","Icelandic krona","National currency","Average","137.64",""
"2019M05","US dollar","National currency","Average","1.1185",""
"2019M06","Icelandic krona","National currency","Average","140.82",""
"2019M06","US dollar","National currency","Average","1.1293",""
"2019M07","Icelandic krona","National currency","Average","139.87",""
"2019M07","US dollar","National currency","Average","1.1218",""
